コード,区分,備考
1,カーブ・屈折-右-上り,右カーブ・屈折の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜し ている道路の部分の上り坂の部分をいう。
2,カーブ・屈折-右-下り,右カーブ・屈折の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜し ている道路の部分の下り坂の部分をいう。
3,カーブ・屈折-右-平坦,右カーブ・屈折の場所で上記以外の部分をいう。
4,カーブ・屈折-左-上り,左カーブ・屈折の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜し ている道路の部分の上り坂の部分をいう。
5,カーブ・屈折-左-下り,左カーブ・屈折の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜し ている道路の部分の下り坂の部分をいう。
6,カーブ・屈折-左-平坦,左カーブ・屈折の場所で上記以外の部分をいう。
7,直線-上り,直線の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜している道 路の部分の上り坂の部分をいう。
8,直線-下り,直線の場所で縦断傾斜がおおむね3/100以上の勾配で傾斜している道 路の部分の下り坂の部分をいう。
9,直線-平坦,直線の場所で上記以外の部分をいう。
0,一般交通の場所,不特定多数の人や車両が自由に通行できる場所として供され、現に不特 定多数の人や車両が自由に通行している場所をいう。
